number,trial_code,form_id,surveyor_name,entreprenuer_strata,demo_location,demo_location_other,trial_name,bizops_name,bizops_product,demo_nationality,demo_nationality_other,demo_gender,demo_age,demo_educlevel,demo_educlevel_level,demo_incomeearner_only,demo_incomeearner_count,demo_primaryincome,demo_primaryincome_other,demo_primaryincome_UNHCR,demo_primaryincome_own_biz,demo_primaryincome_no_stable,demo_primaryincome_no_stable_looking,demo_primaryincome_part_time,demo_primaryincome_full_time,demo_primaryincome_other_biz,demo_primaryincome_extra,demo_primaryincome_write,bizops_sector,bizops_sector_biz,bizops_sector_other,bizops_elec_computer,bizops_elec_smart_phone,bizops_elec_feature_phone,bizops_elec_tablet,bizops_elec_none,bizops_elec_extra,bizops_firstsale_date,bizops_firstsale_today,bizops_operation_period,bizops_age_range,bizops_register_kra,employees_count_fulltime,employees__fulltime_worktime_week,employees_count_parttime,employees__parttime_worktime_week,employees_count_casual,employees_count_temp,employees_temp_reason,employees_count_total,employees_fulltime_age_range_0_17,employees_fulltime_age_range_18_30,employees_fulltime_age_range_31_50,employees_fulltime_age_range_51,employees_fulltime_age_range_none,employees_fulltime_age_range_extra,employees_parttime_age_range_0_17,employees_parttime_age_range_18_30,employees_parttime_age_range_31_50,employees_parttime_age_range_51,employees_parttime_age_range_none,employees_parttime_age_range_extra,employees_casual_age_range_0_17,employees_casual_age_range_18_30,employees_casual_age_range_31_50,employees_casual_age_range_51,employees_casual_age_range_none,employees_casual_age_range_extra,employees_count_gender_m,employees_count_gender_f,employees_count_refugee,bizops_motivation,bizops_motivation_other,bizops_fin_new_6,bizops_fin_loans_family,bizops_fin_loans_groups,bizops_fin_MFI_banks,bizops_fin_donation_grants,bizops_fin_investor,bizops_fin_other,bizops_fin_extra,bizops_fin_other_write,bizops_fin_amt_family,bizops_fin_amt_loans_groups,bizops_fin_amt_MFI_banks,bizops_fin_amt_NGO,bizops_fin_amt_investor,bizops_fin_not_apply,bizops_fin_not_apply_write,bizops_fin_bank_acc,bizops_fin_bank_acc_why,bizops_fin_bank_acc_why_write,customer_count_monthly,customer_main_individual,customer_main_household,customer_main_community,customer_main_smbiz,customer_main_lbiz,customer_main_govt,customer_main_NGOs,customer_main_other,customer_main_extra,customer_main_other_write,records_sales_monthly,salesrev_avgrevenue_last_year,salesrev_avgrevenue_monthly_baseline,salesrev_avgrevenue_fluctuate,salesrev_avgrevenue_season_fluctuate,salesrev_avgrevenue_most_jan,salesrev_avgrevenue_most_feb,salesrev_avgrevenue_most_mar,salesrev_avgrevenue_most_apr,salesrev_avgrevenue_most_may,salesrev_avgrevenue_most_jun,salesrev_avgrevenue_most_jul,salesrev_avgrevenue_most_aug,salesrev_avgrevenue_most_sept,salesrev_avgrevenue_most_oct,salesrev_avgrevenue_most_nov,salesrev_avgrevenue_most_dec,salesrev_avgrevenue_most_none,salesrev_avgrevenue_most_other,salesrev_avgrevenue_most_extra,salesrev_avgrevenue_least_none,salesrev_avgrevenue_least_jan,salesrev_avgrevenue_least_feb,salesrev_avgrevenue_least_mar,salesrev_avgrevenue_least_apr,salesrev_avgrevenue_least_may,salesrev_avgrevenue_least_jun,salesrev_avgrevenue_least_jul,salesrev_avgrevenue_least_aug,salesrev_avgrevenue_least_sept,salesrev_avgrevenue_least_oct,salesrev_avgrevenue_least_nov,salesrev_avgrevenue_least_dec,salesrev_avgrevenue_least_other,salesrev_avgrevenue_least_extra,bizops_suppliers_count,bizops_transporters_count,bizops_transporters_foot,bizops_transporters_bicycle,bizops_transporters_motorbike,bizops_transporters_car,bizops_transporters_trucks,bizops_transporters_other,bizops_transporters_extra,bizops_transporters_other_write,bizops_actors_supply_chain,bizops_actors_supply_chain_write,demo_biz_development,demo_biz_development_write,demo_biz_development_skills_acc,demo_biz_development_skills_hr,demo_biz_development_skills_marketing,demo_biz_development_skills_fin_mgmt,demo_biz_development_skills_dig_fin_skills,demo_biz_development_skills_new_it,demo_biz_development_skills_sales,demo_biz_development_skills_planning,demo_biz_development_skills_other,demo_biz_development_skills_extra,demo_biz_development_skills_write,sales,marketing,operation_management,bookkeeping,biz_plan,cashflow_mgmt,inventory_mgmt,biz_network_partnerships,learn_about_social_media,learn_about_news_papers,learn_about_past_clients,learn_about_aec_staff,learn_about_others,learn_about_extra,learn_about_other_specify,meals_day_count,meals_day_not_eating_count,meals_meat_count,expense_clothing,assets_acquired_6,assets_acquired_other,fuel_cooking,share_other,share_other_write,thanks,survey_complete,survey_complete_time,survey_start_time,username,received_on,Year,Department,asset_indicator,survey_name
2,KEN-003,9acf5222-1422-411d-8c17-d78dda047e3b,Chaddia,refugee-client,kalobeyei,,control_group,retailor,"fish, vegetables, sleepers,..",Burundian,,0,44,No_formal_education,No Formal Education,0,8,Self-employment/my_business,,1,0,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,0,1,0,0,0,3/1/16,2/1/20,3,3 years,0,1,60,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,To_supplement_my_existing_income_from_other_sources,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_do_not_qualify_for_credit,,0,Other,Mpesa,900,1,0,0,0,0,0,0,0,0,0,1,365000,30417,"No,_somewhat_stable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,wholesaler of fish,,,1,1,1,1,0,0,1,1,0,0,0,5,4,5,5,1,5,5,5,0,0,0,1,0,0,0,,0,,,,,0,requested a loan support to expand the business,,0,1,9/20/19 8:24,9/20/19 8:06,aeck_20,9/20/19 11:04,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
3,KEN-004,7fcf143f-8c60-423a-99bf-0828e39a8c0c,Nachomo,kenyan_client,kalobeyei,,control_group,Kalobeyei shop,Clothes,kenyan,,0,38,No_formal_education,No Formal Education,1,11,Self-employment/my_business,,0,1,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,0,1,0,0,0,4/19/09,2/1/20,10,> 6 years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_have_never_thought_about_credit_as_an_option,,1,,,720,1,0,0,0,0,0,0,0,0,0,0,50000,4167,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,1,1,0,0,0,0,1,0,0,0,0,5,2,4,1,1,1,4,1,0,0,0,1,0,0,0,,0,,,,,0,i need access to loans to boost my business,,0,1,9/20/19 8:27,9/20/19 8:04,aeck_19,9/20/19 11:10,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
5,KEN-006,47134ddd-361a-488c-ba0e-609b9a27fd3f,Samuel Mwangangi,refugee-client,kalobeyei,,control_group,Ruwenzori Moutain shop,taloring materials,Congolese,,0,32,Diploma_degree_(A1),Diploma,1,6,Self-employment/my_business,,1,0,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,1,0,0,0,0,12/15/17,2/1/20,2,2 years,0,2,66,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_do_not_qualify_for_credit,,1,,,180,1,1,1,1,0,0,0,0,0,0,1,312000,26000,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,,,,0,0,0,1,0,0,1,0,0,0,0,2,3,3,2,2,1,3,2,0,0,0,1,0,0,0,,0,,,,,0,none,,welcome,1,9/20/19 8:11,9/20/19 7:57,aeck_17,9/20/19 11:19,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
12,KEN-015,09aab4c1-9c56-4ee4-82af-c05c64e642b9,Samuel Mwangangi,refugee-client,kakuma_1,,control_group,Rabecca Athieng,grocery,south_sudan,,1,39,Primary_school_diploma(p6),Finished Primary School,1,9,Self-employment/my_business,,1,0,0,0,0,0,0,0,,Agribusiness_-_Food_Processing,Agribusiness,,0,0,1,0,0,0,6/15/11,2/1/20,8,> 6 years,0,1,60,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_do_not_qualify_for_credit,,1,,,200,1,1,0,0,0,0,0,0,0,0,0,120000,10000,Yes_strongly_fluctuating,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,,,,1,0,1,1,0,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0,,,,,0,none,,welcome,1,9/18/19 7:41,9/18/19 7:32,aeck_15,9/18/19 13:55,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
13,KEN-016,8c21e777-a066-4014-a248-3d61fef2c4bc,Samuel Mwangangi,refugee-client,kakuma_1,,control_group,Darge,Hotel,Ethiopian,,0,27,Primary_school_diploma(p6),Finished Primary School,1,2,Self-employment/my_business,,1,0,0,0,0,0,0,0,,Agribusiness_-_Food_Processing,Agribusiness,,0,1,0,0,0,0,5/15/16,2/1/20,3,3 years,0,2,72,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_do_not_have_the_need_for_credit,,0,"I_don't_need_it,_I_use_mobile_money_for_saving_and_spending_cash",,1200,1,1,1,0,0,0,0,0,0,0,0,180000,15000,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0,,,,,0,none,,welcome,1,9/18/19 8:16,9/18/19 8:05,aeck_15,9/18/19 13:55,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
16,KEN-020,cb221524-f24b-48bb-95e8-d2abcad13a5f,Tadicha,refugee-client,kakuma_1,,control_group,yagub shop,food items,Sudanese,,0,37,Primary_school_diploma(p6),Finished Primary School,1,2,Self-employment/my_business,,1,0,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,0,1,0,0,0,7/14/19,2/1/20,0,< 1year,1,2,9,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,To_create_my_own_job_due_to_lack_of_employment,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_have_never_thought_about_credit_as_an_option,,0,I_don't_have_the_right_documents_to_open_a_bank_account,,100,1,0,0,0,0,0,0,0,0,0,1,80000,6667,Yes_strongly_fluctuating,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,1,0,0,3,3,2,2,1,2,3,1,0,0,0,1,0,0,0,,0,,,,,0,acases to faincial help,,thanks,1,9/18/19 7:43,9/18/19 7:29,aeck_15,9/18/19 13:49,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
17,KEN-022,c7e40191-2242-4ced-8e9c-8b4d1c89fe08,Nachomo,refugee-client,kakuma_1,,control_group,irandukunda,Boda boda,Burundian,,0,20,High_school_graduate_(A2),Finished High school graduate,1,6,Self-employment/my_business,,0,1,0,0,0,0,0,0,,Other_1,Other,Boda boda,0,0,0,0,1,0,1/1/17,2/1/20,3,3 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,To_create_my_own_job_due_to_lack_of_employment,,0,0,0,0,0,0,0,0,,0,0,0,0,0,_I_have_applied_but_I_was_rejected,,0,"I_don't_need_it,_I_use_mobile_money_for_saving_and_spending_cash",,7,1,0,0,0,0,0,0,0,0,0,0,72000,6000,Yes_somewhat_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,0,0,0,3,1,3,4,1,4,1,5,0,0,0,1,0,0,0,,0,,,,,0,i expect to get kniwledge and skills. also access to loan.,,0,1,9/18/19 7:26,9/18/19 7:09,aeck_20,9/18/19 13:50,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
19,KEN-024,72b49d65-3d2a-4c68-98dc-4066ce9f23e0,Saida,kenyan_client,kakuma_town,,control_group,second hand goods(mali mali),"clothes, plastic utensils",kenyan,,1,25,High_school_graduate_(A2),Finished High school graduate,1,1,Self-employment/my_business,,0,1,0,0,0,0,0,0,,Other_1,Other,second hand goods,0,0,0,0,1,0,1/1/19,2/1/20,1,1 year,0,1,56,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_have_never_thought_about_credit_as_an_option,,1,,,360,1,1,0,0,0,0,0,0,0,0,1,0,45000,Yes_strongly_fluctuating,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0,,,,,0,no,,thank you,1,9/19/19 8:09,9/19/19 7:53,aeck_15,9/19/19 14:18,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
20,KEN-025,08dca8ab-6d48-4bba-b53d-a70aada94821,Samuel Mwangangi,refugee-client,kakuma_4,,control_group,christine,Hotel,Congolese,,1,30,Primary_school_diploma(p6),Finished Primary School,0,3,No_stable_income_(unemployed_and_looking),,0,0,1,0,0,0,0,0,,Agribusiness_-_Food_Processing,Agribusiness,,0,0,0,0,1,0,12/15/16,2/1/20,3,3 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,To_create_my_own_job_due_to_lack_of_employment,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_have_never_thought_about_credit_as_an_option,,0,"I_don't_need_it,_I_use_mobile_money_for_saving_and_spending_cash",,0,1,0,0,0,0,0,0,0,0,0,0,36000,20000,Yes_strongly_fluctuating,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0,,,,,0,none,,welcome,1,9/19/19 12:35,9/19/19 12:25,aeck_15,9/19/19 14:18,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
21,KEN-026,627e6a23-d26c-4c37-9d3f-8db33f430f73,Saida,kenyan_client,kakuma_town,,control_group,Hellen,Food staff and tailoring,kenyan,,1,35,High_school_graduate_(A2),Finished High school graduate,1,1,Self-employment/my_business,,0,1,0,0,0,0,0,0,,Retail/Fashion,Retail,,0,0,0,0,1,0,1/1/09,2/1/20,11,> 6 years,0,1,56,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,To_increase_income_independently,,0,0,0,0,0,0,0,0,,0,0,0,0,0,I_have_never_thought_about_credit_as_an_option,,0,"I_don't_need_it,_I_use_mobile_money_for_saving_and_spending_cash",,450,1,1,1,0,0,0,0,0,0,0,1,360000,69040,Yes_strongly_fluctuating,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,,0,,,,,0,no,,thank you,1,9/19/19 7:52,9/19/19 7:31,aeck_15,9/19/19 14:18,2019,MBS Kenya,0,Kenya_2019_BGS_LivelihoodProgram_Kakuma_Cohort1
